"ProcessName","Path","Id"
"ApplicationFrameHost","C:\Windows\system32\ApplicationFrameHost.exe","3744"
"bash","C:\Program Files\Git\usr\bin\bash.exe","6452"
"conhost","C:\Windows\system32\conhost.exe","3984"
"conhost","C:\Windows\system32\conhost.exe","6388"
"csrss",,"392"
"csrss",,"504"
"ctfmon","C:\Windows\system32\ctfmon.exe","3468"
"dllhost","C:\Windows\system32\dllhost.exe","3060"
"dllhost","C:\Windows\system32\DllHost.exe","5208"
"dllhost","C:\Windows\system32\DllHost.exe","7096"
"dwm","C:\Windows\system32\dwm.exe","1016"
"explorer","C:\Windows\Explorer.EXE","3648"
"fontdrvhost","C:\Windows\system32\fontdrvhost.exe","788"
"fontdrvhost","C:\Windows\system32\fontdrvhost.exe","796"
"git-bash","C:\Program Files\Git\git-bash.exe","6156"
"GoogleCrashHandler","C:\Program Files (x86)\Google\Update\1.3.36.312\GoogleCrashHandler.exe","5220"
"GoogleCrashHandler64","C:\Program Files (x86)\Google\Update\1.3.36.312\GoogleCrashHandler64.exe","3772"
"Idle",,"0"
"lsass","C:\Windows\system32\lsass.exe","644"
"Memory Compression",,"1448"
"mintty","C:\Program Files\Git\usr\bin\mintty.exe","6264"
"msdtc","C:\Windows\System32\msdtc.exe","3272"
"MsMpEng",,"2908"
"NisSrv",,"3404"
"powershell_ise","C:\Windows\system32\WindowsPowerShell\v1.0\PowerShell_ISE.exe","2040"
"Registry",,"88"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","5744"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","5804"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","6868"
"SearchUI","C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe","5596"
"SecurityHealthService",,"3104"
"SecurityHealthSystray","C:\Windows\System32\SecurityHealthSystray.exe","6108"
"services",,"632"
"SgrmBroker",,"3536"
"ShellExperienceHost","C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","5456"
"sihost","C:\Windows\system32\sihost.exe","712"
"smss",,"288"
"spoolsv","C:\Windows\System32\spoolsv.exe","2068"
"svchost","C:\Windows\system32\svchost.exe","492"
"svchost","C:\Windows\system32\svchost.exe","660"
"svchost","C:\Windows\system32\svchost.exe","756"
"svchost","C:\Windows\system32\svchost.exe","780"
"svchost","C:\Windows\system32\svchost.exe","892"
"svchost","C:\Windows\System32\svchost.exe","940"
"svchost","C:\Windows\system32\svchost.exe","948"
"svchost","C:\Windows\System32\svchost.exe","1116"
"svchost","C:\Windows\system32\svchost.exe","1136"
"svchost","C:\Windows\system32\svchost.exe","1224"
"svchost","C:\Windows\system32\svchost.exe","1236"
"svchost","C:\Windows\system32\svchost.exe","1252"
"svchost","C:\Windows\System32\svchost.exe","1272"
"svchost","C:\Windows\System32\svchost.exe","1280"
"svchost","C:\Windows\system32\svchost.exe","1320"
"svchost","C:\Windows\system32\svchost.exe","1432"
"svchost","C:\Windows\system32\svchost.exe","1472"
"svchost","C:\Windows\System32\svchost.exe","1524"
"svchost","C:\Windows\system32\svchost.exe","1532"
"svchost","C:\Windows\system32\svchost.exe","1580"
"svchost","C:\Windows\System32\svchost.exe","1624"
"svchost","C:\Windows\system32\svchost.exe","1652"
"svchost","C:\Windows\System32\svchost.exe","1688"
"svchost","C:\Windows\System32\svchost.exe","1780"
"svchost","C:\Windows\System32\svchost.exe","1808"
"svchost","C:\Windows\system32\svchost.exe","1896"
"svchost","C:\Windows\system32\svchost.exe","1908"
"svchost","C:\Windows\system32\svchost.exe","1960"
"svchost","C:\Windows\System32\svchost.exe","2024"
"svchost","C:\Windows\system32\svchost.exe","2128"
"svchost","C:\Windows\System32\svchost.exe","2152"
"svchost","C:\Windows\system32\svchost.exe","2372"
"svchost","C:\Windows\System32\svchost.exe","2380"
"svchost","C:\Windows\system32\svchost.exe","2392"
"svchost","C:\Windows\system32\svchost.exe","2536"
"svchost","C:\Windows\system32\svchost.exe","2568"
"svchost","C:\Windows\System32\svchost.exe","2616"
"svchost","C:\Windows\system32\svchost.exe","3540"
"svchost","C:\Windows\system32\svchost.exe","3580"
"svchost","C:\Windows\system32\svchost.exe","3940"
"svchost","C:\Windows\system32\svchost.exe","4216"
"svchost","C:\Windows\System32\svchost.exe","4572"
"svchost","C:\Windows\system32\svchost.exe","4612"
"svchost",,"4640"
"svchost","C:\Windows\system32\svchost.exe","4876"
"svchost","C:\Windows\system32\svchost.exe","4940"
"svchost","C:\Windows\System32\svchost.exe","5116"
"svchost","C:\Windows\system32\svchost.exe","5132"
"svchost","C:\Windows\system32\svchost.exe","6168"
"svchost","C:\Windows\system32\svchost.exe","6176"
"svchost","C:\Windows\system32\svchost.exe","6576"
"System",,"4"
"SystemSettings","C:\Windows\ImmersiveControlPanel\SystemSettings.exe","6500"
"taskhostw","C:\Windows\system32\taskhostw.exe","1036"
"Taskmgr","C:\Windows\system32\taskmgr.exe","3140"
"VGAuthService","C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe","2472"
"vm3dservice","C:\Windows\system32\vm3dservice.exe","2480"
"vm3dservice","C:\Windows\system32\vm3dservice.exe","2592"
"vmtoolsd","C:\Program Files\VMware\VMware Tools\vmtoolsd.exe","2492"
"vmtoolsd","C:\Program Files\VMware\VMware Tools\vmtoolsd.exe","6508"
"WindowsInternal.ComposableShell.Experiences.TextInput.InputApp","C:\Windows\SystemApps\InputApp_cw5n1h2txyewy\WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe","5936"
"wininit",,"496"
"winlogon","C:\Windows\system32\winlogon.exe","564"
"WmiPrvSE","C:\Windows\system32\wbem\wmiprvse.exe","3132"
